0 0 0.581613
0 1 0.638777
0 2 0.659054
0 3 0.638777
0 4 0.581613
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
0 10 0
0 11 0
0 12 0
0 13 0
0 14 0
0 15 0.777863
0 16 1.60162
0 17 2.95096
0 18 4.8653
0 19 7.17798
0 20 9.47632
0 21 11.1949
0 22 11.8345
0 23 11.1949
0 24 9.47632
0 25 7.17798
0 26 4.8653
0 27 2.95096
0 28 1.60162
0 29 0.777863

1 0 0.788784
1 1 0.86631
1 2 0.89381
1 3 0.86631
1 4 0.788784
1 5 0.674683
1 6 0.542123
1 7 0
1 8 0
1 9 0
1 10 0
1 11 0
1 12 0
1 13 0
1 14 0
1 15 0.786008
1 16 1.61839
1 17 2.98185
1 18 4.91625
1 19 7.25314
1 20 9.57554
1 21 11.3122
1 22 11.9584
1 23 11.3122
1 24 9.57554
1 25 7.25314
1 26 4.91625
1 27 2.98185
1 28 1.61839
1 29 0.786008

2 0 1.05317
2 1 1.15668
2 2 1.19339
2 3 1.15668
2 4 1.05317
2 5 0.90082
2 6 0.723829
2 7 0.546375
2 8 0
2 9 0.511899
2 10 0.540842
2 11 0.565736
2 12 0.585887
2 13 0.600719
2 14 0.609798
2 15 0.788742
2 16 1.62402
2 17 2.99223
2 18 4.93335
2 19 7.27837
2 20 9.60885
2 21 11.3515
2 22 12
2 23 11.3515
2 24 9.60885
2 25 7.27837
2 26 4.93335
2 27 2.99223
2 28 1.62402
2 29 0.788742

3 0 1.38436
3 1 1.52042
3 2 1.56869
3 3 1.52042
3 4 1.38436
3 5 1.18411
3 6 0.951456
3 7 0.73372
3 8 0.790865
3 9 0.843979
3 10 0.891698
3 11 0.932741
3 12 0.965964
3 13 0.990418
3 14 1.00539
3 15 1.01043
3 16 1.61839
3 17 2.98185
3 18 4.91625
3 19 7.25314
3 20 9.57554
3 21 11.3122
3 22 11.9584
3 23 11.3122
3 24 9.57554
3 25 7.25314
3 26 4.91625
3 27 2.98185
3 28 1.61839
3 29 0.786008

4 0 1.79149
4 1 1.96757
4 2 2.03003
4 3 1.96757
4 4 1.79149
4 5 1.53235
4 6 1.23127
4 7 1.16227
4 8 1.25279
4 9 1.33692
4 10 1.41251
4 11 1.47753
4 12 1.53016
4 13 1.5689
4 14 1.59261
4 15 1.60059
4 16 1.60162
4 17 2.95096
4 18 4.8653
4 19 7.17798
4 20 9.47632
4 21 11.1949
4 22 11.8345
4 23 11.1949
4 24 9.47632
4 25 7.17798
4 26 4.8653
4 27 2.95096
4 28 1.60162
4 29 0.777863

5 0 2.28242
5 1 2.50675
5 2 2.58632
5 3 2.50675
5 4 2.28242
5 5 1.95226
5 6 1.62478
5 7 1.76892
5 8 1.9067
5 9 2.03475
5 10 2.14979
5 11 2.24874
5 12 2.32884
5 13 2.3878
5 14 2.42389
5 15 2.43604
5 16 2.42389
5 17 2.90017
5 18 4.78156
5 19 7.05444
5 20 9.31322
5 21 11.0023
5 22 11.6308
5 23 11.0023
5 24 9.31322
5 25 7.05444
5 26 4.78156
5 27 2.90017
5 28 1.57406
5 29 0.914271

6 0 2.8628
6 1 3.14417
6 2 3.24398
6 3 3.14417
6 4 2.8628
6 5 2.44868
6 6 2.37589
6 7 2.58667
6 8 2.78813
6 9 2.97538
6 10 3.14361
6 11 3.2883
6 12 3.40543
6 13 3.49164
6 14 3.54441
6 15 3.56218
6 16 3.54441
6 17 3.49164
6 18 4.66675
6 19 6.88504
6 20 9.08958
6 21 10.7381
6 22 11.3515
6 23 10.7381
6 24 9.08958
6 25 6.88504
6 26 4.66675
6 27 2.83052
6 28 1.53626
6 29 1.33692

7 0 3.53509
7 1 3.88253
7 2 4.00578
7 3 3.88253
7 4 3.53509
7 5 3.03549
7 6 3.338
7 7 3.63414
7 8 3.91718
7 9 4.18025
7 10 4.41661
7 11 4.61989
7 12 4.78445
7 13 4.90557
7 14 4.97971
7 15 5.00467
7 16 4.97971
7 17 4.90557
7 18 4.78445
7 19 6.67321
7 20 8.80992
7 21 10.4077
7 22 11.0023
